Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps
2022-03-27 22:39:42-07:00,2022-03-28 06:48:42-07:00,8.15,35.4097,2022-03-28,,,,,8037.0
2022-03-28 23:54:54-07:00,2022-03-29 07:11:24-07:00,7.275,56.1198,2022-03-29,,,,,17105.0
2022-03-30 00:04:46-07:00,2022-03-30 07:21:46-07:00,7.283333333333333,35.1787,2022-03-30,,,,,20446.0
2022-03-30 23:57:57-07:00,2022-03-31 07:27:27-07:00,7.491666666666666,46.89665,2022-03-31,,,,,19420.0
2022-04-01 00:50:17-07:00,2022-04-01 06:53:17-07:00,6.05,45.62705,2022-04-01,,,,,27946.0
2022-04-02 01:46:56-07:00,2022-04-02 09:29:26-07:00,7.708333333333333,49.5994,2022-04-02,,,,,2066.0
2022-04-03 04:07:38-07:00,2022-04-03 09:22:08-07:00,5.241666666666666,58.8631,2022-04-03,,,,,5911.0
2022-04-04 02:41:03-07:00,2022-04-04 10:16:33-07:00,7.591666666666667,52.122299999999996,2022-04-04,,,,,753.0
2022-04-05 02:00:29-07:00,2022-04-05 09:24:59-07:00,7.408333333333333,48.81385,2022-04-05,,,,,12985.0
2022-04-06 01:19:26-07:00,2022-04-06 06:44:56-07:00,5.425,47.0258,2022-04-06,,,,,26159.0
2022-04-06 23:07:05-07:00,2022-04-07 06:47:05-07:00,7.666666666666667,44.7374,2022-04-07,,,,,19625.0
2022-04-08 01:00:13-07:00,2022-04-08 09:08:43-07:00,8.141666666666667,63.32385,2022-04-08,,,,,12240.0
,,,,2022-04-09,,,,,10528.0
2022-04-10 04:20:29-07:00,2022-04-10 09:55:59-07:00,5.591666666666667,47.8999,2022-04-10,,,,,8805.0
2022-04-11 00:08:15-07:00,2022-04-11 07:24:45-07:00,7.275,40.625699999999995,2022-04-11,,,,,21642.0
2022-04-12 01:19:40-07:00,2022-04-12 07:21:40-07:00,6.033333333333333,52.565,2022-04-12,,,,,19891.0
2022-04-12 23:56:44-07:00,2022-04-13 06:51:14-07:00,6.908333333333333,49.5655,2022-04-13,,,,,18132.0
2022-04-14 00:29:40-07:00,2022-04-14 07:22:10-07:00,6.875,28.337600000000002,2022-04-14,,,,,10130.0
2022-04-14 23:48:32-07:00,2022-04-15 07:28:02-07:00,7.658333333333333,44.9337,2022-04-15,,,,,19003.0
2022-04-16 02:12:20-07:00,2022-04-16 09:24:50-07:00,7.208333333333333,48.422,2022-04-16,,,,,12840.0
2022-04-17 03:05:40-07:00,2022-04-17 10:49:40-07:00,7.733333333333333,79.80115,2022-04-17,,,,,1967.0
2022-04-18 00:10:38-07:00,2022-04-18 07:28:38-07:00,7.3,54.102199999999996,2022-04-18,,,,,13389.0
2022-04-18 23:54:24-07:00,2022-04-19 07:29:54-07:00,7.591666666666667,29.5276,2022-04-19,,,,,10287.0
2022-04-20 00:55:59-07:00,2022-04-20 07:15:29-07:00,6.325,33.8401,2022-04-20,,,,,11687.0
2022-04-20 23:59:18-07:00,2022-04-21 07:36:18-07:00,7.616666666666666,96.31365,2022-04-21,,,,,11131.0
2022-04-22 00:02:40-07:00,2022-04-22 07:22:10-07:00,7.325,37.0323,2022-04-22,,,,,18096.0
,,,,2022-04-23,,,,,37494.0
2022-04-24 01:13:44-07:00,2022-04-24 09:25:14-07:00,8.191666666666666,60.074250000000006,2022-04-24,,,,,28159.0
2022-04-25 01:50:38-07:00,2022-04-25 07:28:38-07:00,5.633333333333334,47.6305,2022-04-25,,,,,20735.0
2022-04-25 23:54:20-07:00,2022-04-26 07:15:50-07:00,7.358333333333333,40.9233,2022-04-26,,,,,11921.0
,,,,2022-04-27,,,,,11999.0
2022-04-28 00:37:31-07:00,2022-04-28 07:23:31-07:00,6.766666666666667,44.89375,2022-04-28,,,,,14368.0
2022-04-29 00:14:59-07:00,2022-04-29 08:19:29-07:00,8.075,41.13305,2022-04-29,,,,,15923.0
2022-04-30 01:08:16-07:00,2022-04-30 10:24:46-07:00,9.275,74.24853333333333,2022-04-30,,,,,12746.0
2022-05-01 02:36:28-07:00,2022-05-01 10:19:28-07:00,7.716666666666667,70.38,2022-05-01,,,,,2147.0
2022-05-02 01:08:59-07:00,2022-05-02 07:12:29-07:00,6.058333333333334,64.40425,2022-05-02,,,,,21191.0
