Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps,Total Standing Hours,Total Basal Energy Burned (kcal),Total Active Energy Burned (kcal),Total Exercise Minutes
2022-02-10 01:06:14-07:00,2022-02-10 08:13:14-07:00,7.116666666666666,35.815200000000004,2022-02-10,,,,,16393.0,14.0,1573.6849999999988,425.3719999999999,39.0
2022-02-11 02:18:49-07:00,2022-02-11 09:00:49-07:00,6.7,57.35294999999999,2022-02-11,,,,,12498.0,13.0,1579.4339999999988,328.1499999999999,20.0
2022-02-12 02:58:33-07:00,2022-02-12 10:25:33-07:00,7.45,40.513,2022-02-12,,,,,19520.0,11.0,1542.830999999999,355.8779999999998,19.0
,,,,2022-02-13,,,,,11211.0,7.0,1552.2279999999978,389.9480000000004,46.0
2022-02-14 01:19:33-07:00,2022-02-14 08:14:33-07:00,6.916666666666667,56.7392,2022-02-14,,,,,19175.0,15.0,1568.6809999999982,466.5769999999998,21.0
2022-02-15 01:22:29-07:00,2022-02-15 08:29:59-07:00,7.125,97.64954999999999,2022-02-15,,,,,19265.0,12.0,1575.557000000004,602.4199999999997,72.0
2022-02-16 01:41:19-07:00,2022-02-16 08:24:19-07:00,6.716666666666667,50.4294,2022-02-16,,,,,22928.0,14.0,1609.9270000000017,643.505,88.0
2022-02-17 01:57:54-07:00,2022-02-17 08:31:24-07:00,6.558333333333334,56.5674,2022-02-17,,,,,23394.0,15.0,1546.8760000000007,638.3910000000009,89.0
,,,,2022-02-18,,,,,19688.0,11.0,1577.585,386.69399999999985,19.0
2022-02-19 02:18:17-07:00,2022-02-19 10:57:47-07:00,8.658333333333333,52.3801,2022-02-19,,,,,30575.0,13.0,1553.2440000000047,532.2999999999996,24.0
2022-02-20 05:25:51-07:00,2022-02-20 12:17:51-07:00,6.866666666666666,66.6773,2022-02-20,,,,,1877.0,4.0,1531.2609999999995,60.11900000000001,1.0
2022-02-21 04:05:55-07:00,2022-02-21 11:32:55-07:00,7.45,54.6786,2022-02-21,,,,,14812.0,8.0,1556.0889999999986,313.7180000000003,14.0
2022-02-22 01:44:19-07:00,2022-02-22 08:23:49-07:00,6.658333333333333,53.442350000000005,2022-02-22,,,,,24783.0,13.0,1556.1539999999952,955.2439999999997,113.0
2022-02-23 01:52:59-07:00,2022-02-23 07:53:59-07:00,6.016666666666667,37.191050000000004,2022-02-23,,,,,22031.0,16.0,1560.4340000000002,589.9320000000002,53.0
2022-02-24 01:51:20-07:00,2022-02-24 08:14:50-07:00,6.391666666666667,51.3031,2022-02-24,,,,,5697.0,5.0,1598.5439999999992,82.53500000000005,3.0
2022-02-25 01:13:17-07:00,2022-02-25 08:23:17-07:00,7.166666666666667,,2022-02-25,,,,,21148.0,13.0,1603.62,610.6620000000005,54.0
2022-02-25 23:31:25-07:00,2022-02-26 06:58:25-07:00,7.45,49.8174,2022-02-26,,,,,22663.0,16.0,1554.0370000000007,411.68500000000034,16.0
,,,,2022-02-27,,,,,280.0,,1517.7210000000014,,
2022-02-28 01:33:09-07:00,2022-02-28 08:23:39-07:00,6.841666666666667,49.9323,2022-02-28,,,,,17079.0,14.0,1599.7710000000004,475.3550000000001,65.0
2022-03-01 02:23:23-07:00,2022-03-01 11:02:53-07:00,8.658333333333333,49.29185,2022-03-01,,,,,23004.0,14.0,1537.7169999999985,627.9510000000001,85.0
2022-03-02 02:07:39-07:00,2022-03-02 08:13:39-07:00,6.1,57.4427,2022-03-02,,,,,14483.0,11.0,1555.325999999998,318.95799999999974,14.0
2022-03-03 01:08:46-07:00,2022-03-03 08:25:46-07:00,7.283333333333333,50.58725,2022-03-03,,,,,19794.0,13.0,1552.548999999999,471.49099999999953,57.0
2022-03-04 00:24:16-07:00,2022-03-04 07:54:16-07:00,7.5,45.137249999999995,2022-03-04,,,,,20718.0,15.0,1625.2850000000014,581.9220000000003,45.0
2022-03-05 02:53:35-07:00,2022-03-05 09:03:35-07:00,6.166666666666667,74.9159,2022-03-05,,,,,6765.0,9.0,1523.0849999999994,206.2859999999999,4.0
2022-03-06 02:10:56-07:00,2022-03-06 10:47:56-07:00,8.616666666666667,61.45765,2022-03-06,,,,,6892.0,8.0,1518.1589999999987,261.29600000000005,26.0
2022-03-07 01:42:14-07:00,2022-03-07 07:47:14-07:00,6.083333333333333,176.641,2022-03-07,,,,,21763.0,14.0,1624.7569999999969,634.5409999999999,72.0
2022-03-08 02:27:10-07:00,2022-03-08 10:35:10-07:00,8.133333333333333,44.644999999999996,2022-03-08,,,,,22796.0,12.0,1528.3049999999998,534.0159999999997,49.0
2022-03-09 01:00:48-07:00,2022-03-09 07:54:48-07:00,6.9,66.25750000000001,2022-03-09,,,,,15118.0,14.0,1565.9939999999967,371.03700000000015,18.0
